address,choice,voting_power,timestamp,date_utc,author_ipfs_hash
0xDe5E1c80f76AFf1A05E223B53528103eBa6eA4e5,3,1,1672114062,"Tue, 27 Dec 2022 04:07:42 GMT",bafkreibghkjtsd2pkhcrfgqrcfck4vjd5ejum26fpem5ycl2vite4jepmi
0x18Ca5970ce777a729570091aeaCCBf51Ccd03AEA,2,1,1672034384,"Mon, 26 Dec 2022 05:59:44 GMT",bafkreibo6olygvqgh2fkhszxw3ugrrjm4jb7vrthz33gwns62u6gsa7cbm
0x577835B2B66510b3a6360b53a67E556735556191,3,1,1672124882,"Tue, 27 Dec 2022 07:08:02 GMT",bafkreickvspxxbu5fupuei4kbyfjrvvro7jsdwhbpg7lroycv2o7qzyr5u
0xD3661B5276547aeA4F4f9AF7D431565494C58479,1,1,1672533356,"Sun, 01 Jan 2023 00:35:56 GMT",bafkreiaep2eem4zaehqdbirqh7s5lj5zwtgl33hqk2xoiv5ontm5ws7thm
0x7De865445430E07ABf6De592857657B39a45E229,2,1,1672173391,"Tue, 27 Dec 2022 20:36:31 GMT",bafkreicx7rp5lf3qfenqrh4t6lh5dc3hfndee7grtbrlclqwnel5rru3du
0x52FF9fa6097B52cb1981ACCc87C00A531B27E927,2,1,1672126323,"Tue, 27 Dec 2022 07:32:03 GMT",bafkreibtpnvc27hv2oc2gq5ksziksggjwvhmh3krnhhvuhphfiegfqr43q
0x5d6210B12566718B1a39D3172F4150a25143071A,3,1,1672021225,"Mon, 26 Dec 2022 02:20:25 GMT",bafkreia77ynaymypjuhriln5u2yxiwpcpxsbztacrpq6lxrdph47rqrkvi
0xF1c9D86efdaf10463f4a401867583E55aa64Bd32,2,1,1672032601,"Mon, 26 Dec 2022 05:30:01 GMT",bafkreih4bpsdz45unuwefuqlv6pidm5pim42jp2e7ocavxg76ed342dnle
0x4C8EcF5135efDa1E81b16CFbBA62b7925edCbC77,2,1,1672061673,"Mon, 26 Dec 2022 13:34:33 GMT",bafkreianjg4qszgcsimdhxqaq36y7p22pz2ln4jajzl4ofwdgamekuj3hy
0x6937dEA4Fd5896865AD1D1d07c391597542De9D7,2,1,1672092669,"Mon, 26 Dec 2022 22:11:09 GMT",bafkreia7td3cgx7mwaae226cj6b2uplql6bmtzshcenmwnwrjykeqw7w2u
0x80026fD66d0Cd4ae23fdaAB33926E5e94ecBc240,2,1,1672093955,"Mon, 26 Dec 2022 22:32:35 GMT",bafkreihtdwqsopfeaopuztc7kj6s4ggumta2jgr7vwtoqynltsxfy4yjxe
0x86cd34716D0289D555ba7e178d3703eD3369520b,2,1,1672033983,"Mon, 26 Dec 2022 05:53:03 GMT",bafkreif3jfbygbaodrayrrvmswy4lrlyyowdvpwwgqf7rxuw77fcwlii4u
0x6405E3d705868b79456D7CB622F2f480613EAE87,2,1,1672044925,"Mon, 26 Dec 2022 08:55:25 GMT",bafkreiaesj6w3fqla5muw7xylwllkmbgwxvcszec3a55ifkvvhtjeefuau
0x516b082872C3967cD1f3d6c6A8458DF7A7830E64,2,1,1672108775,"Tue, 27 Dec 2022 02:39:35 GMT",bafkreiggpgdeb7p4rwcv6xhvxszxohz7z45be2xy56vfw5r3pgunxjrgou
0xc8896128f8239C3C0C9fC7eCbda3AE2ee695bc33,2,1,1672115836,"Tue, 27 Dec 2022 04:37:16 GMT",bafkreiag765ua77pq67gzzrehpromy65m3lazme524pxo36snk4g3hb5ay
0xde8D5E112Ecb6277c2c7779597217F7A92C05893,2,1,1672061251,"Mon, 26 Dec 2022 13:27:31 GMT",bafkreic7ndomsrbvcoahajg6cpo6u6uzmqdui3ktapj4664sipcoklibyu
0x81aeFa038648f8695bD0e851704f5F6cAE05Bc81,2,1,1672128318,"Tue, 27 Dec 2022 08:05:18 GMT",bafkreieyzgcaiiig4yd6sad2w4xjooytm7jlqozmuetppxkpgcltiusuca
